number_of_threads,sample_number,delay
1,0,30.323
1,1,30.345
1,2,30.524
1,3,30.358
1,4,30.379
1,5,30.415
1,6,30.555
1,7,30.425
1,8,30.371
1,9,30.411
2,0,30.412
2,1,30.223
2,2,30.403
2,3,30.557
2,4,30.452
2,5,30.531
2,6,30.432
2,7,30.439
2,8,30.313
2,9,30.274
3,0,30.382
3,1,30.417
3,2,30.411
3,3,30.674
3,4,30.458
3,5,30.563
3,6,30.451
3,7,30.39
3,8,30.433
3,9,30.451
4,0,30.582
4,1,30.42
4,2,30.402
4,3,30.528
4,4,30.459
4,5,30.694
4,6,30.626
4,7,30.45
4,8,30.444
4,9,30.51
5,0,30.54
5,1,30.517
5,2,30.391
5,3,30.484
5,4,30.532
5,5,30.733
5,6,30.577
5,7,30.762
5,8,30.686
5,9,30.537
6,0,30.587
6,1,30.626
6,2,30.611
6,3,30.691
6,4,30.66
6,5,30.587
6,6,30.511
6,7,30.74
6,8,30.528
6,9,30.616
7,0,30.538
7,1,30.591
7,2,30.648
7,3,30.65
7,4,30.654
7,5,30.547
7,6,30.644
7,7,30.836
7,8,30.623
7,9,30.516
8,0,30.657
8,1,30.492
8,2,30.524
8,3,30.495
8,4,30.373
8,5,30.364
8,6,30.518
8,7,30.864
8,8,30.881
8,9,30.434
9,0,30.322
9,1,30.598
9,2,30.6
9,3,30.604
9,4,30.578
9,5,30.523
9,6,30.603
9,7,30.564
9,8,30.607
9,9,30.607
10,0,30.409
10,1,30.319
10,2,30.325
10,3,30.316
10,4,30.211
10,5,30.246
10,6,30.405
10,7,30.638
10,8,30.509
10,9,30.342
11,0,30.599
11,1,30.592
11,2,30.47
11,3,30.468
11,4,30.241
11,5,30.286
11,6,30.245
11,7,30.74
11,8,30.618
11,9,30.578
12,0,30.697
12,1,30.652
12,2,30.284
12,3,30.67
12,4,30.678
12,5,30.252
12,6,30.319
12,7,30.229
12,8,30.297
12,9,31.137
13,0,30.31
13,1,30.27
13,2,30.257
13,3,30.362
13,4,30.231
13,5,30.332
13,6,30.25
13,7,30.285
13,8,30.231
13,9,31.035
14,0,31.666
14,1,30.581
14,2,30.25
14,3,30.304
14,4,30.503
14,5,30.822
14,6,30.737
14,7,30.425
14,8,30.685
14,9,30.734
15,0,30.859
15,1,30.698
15,2,30.511
15,3,30.416
15,4,30.575
15,5,30.497
15,6,30.853
15,7,30.863
15,8,30.717
15,9,30.294
16,0,30.281
16,1,30.236
16,2,30.486
16,3,30.278
16,4,30.343
16,5,30.284
16,6,30.982
16,7,30.939
16,8,30.732
16,9,30.591
17,0,31.042
17,1,30.342
17,2,30.291
17,3,30.34
17,4,30.306
17,5,31.058
17,6,30.964
17,7,30.866
17,8,30.736
17,9,30.805
18,0,30.526
18,1,30.792
18,2,30.799
18,3,30.453
18,4,30.293
